Type,Title,URL,Description,Contributor Id,Image,Subsection,Access,Domain,Coverage
🟢 Dataset,Disaster Ninja,https://disaster.ninja/,"Disaster Ninja, is a geospatial tool for disaster management that visualizes recent natural disasters, mapping gaps, and contributor activity. It integrates datasets like population density and OpenStreetMap to help humanitarian organizations prioritize and coordinate mapping efforts.",Mouad Elhamdi,/assets/images/thumb/Disaster Ninja.jpg,Contexts (Population Data & Mobility),,,
🟢 Dataset,Spatiotemporal Datasets,https://github.com/benedekrozemberczki/spatiotemporal_datasets?tab=readme-ov-file,"This repository collects datasets for network science, deep learning, and general machine learning research. It includes data such as weekly chickenpox cases in Hungary and bicycle deliveries in London.",Mouad Elhamdi,/assets/images/thumb/Spatiotemporal Datasets.jpg,,,,
🟢 Dataset,Crimes in Vancouver,https://www.kaggle.com/datasets/wosaku/crime-in-vancouver,"Includes individual crime events with time (minute, hour, day, month, year) and latitude and longitude from 2003 to 2017 with 530 thousand records. The data was originally retrieved from city of Vancouver open data portal.",Sumantrak Mukherjee,https://dsa.dfki.de/author/sumantrak-mukherjee/crimes_in_vancouver.jpg,Events,,,
🟢 Dataset,New York City Shootings,https://www.kaggle.com/datasets/thaddeussegura/new-york-city-shooting-dataset,"This events dataset contains the date, longitude, and latitude for New York City shootings from 2006 to 2019 for around 22 thousand records, including relevant information about the incident, such as the shooter (age, gender, race). The data was originally retrieved from NYC OpenData.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/new_york_city_shootings.jpg,Events,,,
🟢 Dataset,USA Gun Violence,https://www.kaggle.com/datasets/emmanuelfwerr/gun-violence-incidents-in-the-usa,This events dataset contains the date and country-level locations from 2013 to 2022 for around 472 thousand records for gun violence incidents and mass shootings in the USA. This data was originally retrieved from the Gun Violence Archive organization.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/usa_gun_violence.jpg,Events,,,
🟢 Dataset,Armed Conflict Location and Event Dataset (ACLED),https://acleddata.com/data-export-tool/,"ACLED provides multiple event datasets for armed conflict dates, longitude, and latitude. It contains all events from around the world, such as conflicts in Central Africa, Brazil, and Pakistan. Free registration required.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/armed_conflict_location_and_event_dataset_(ACLED).jpg,Events,,,
🟢 Dataset,The Uppsala Conflict Data Program (UCDP),https://ucdp.uu.se/encyclopedia,"UCDP provides multiple event datasets for armed conflict dates, longitude, and latitude. (UCDP) provides data on organized violence with a history of almost 40 years. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/uppsala_conflict_data_progam(UCDP).jpg,Events,,,
🟢 Dataset,Chicago Crimes,https://data.cityofchicago.org/Public-Safety/Crimes-2001-to-Present/ijzp-q8t2/about_data,"This events dataset contains the Chicago crimes from 2001 to the present, except for the past 7 days, with date, longitude, and latitude. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/chicago_crimes.jpg,Events,,,
🟢 Dataset,Correlates of War (COW),https://correlatesofwar.org/data-sets/,"The COW project provides event datasets for conflicts, wars, and more. It contains dates, longitude, and latitude. COW data spans several centuries. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/correlates_of_war_(COW).jpg,Events,,,
🟢 Dataset,Social Conflict Analysis Database (SCAD),https://www.strausscenter.org/ccaps-research-areas/social-conflict/database/,"SCAD provides event datasets for protests, riots, and other social conflicts with date, longitude, and latitude from 1990 to 2017 covering all of Africa, Mexico, Central America, and the Caribbean. Freely available.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/Social Conflict Analysis Database (SCAD).jpg,Events,,,
