Type,Title,URL,Description,Contributor Id,Image,Subsection,License,Platform,Language
🟡 Tool,EasyTPP,https://github.com/ant-research/EasyTemporalPointProcess,"EasyTPP is a benchmarking framework for temporal point processes (TPP), unifying datasets, evaluation methods, and implementations (PyTorch/TensorFlow) of popular neural TPP models.",Mouad Elhamdi,/assets/images/thumb/EasyTPP.jpg,,,,
🟡 Tool,Spatial-Kfold,https://github.com/WalidGharianiEAGLE/spatial-kfold,"Spatial-Kfold is a Python library for spatial cross-validation, providing clustering and block resampling methods. It supports Leave Region Out validation to enhance model generalization and robust feature selection.",Mouad Elhamdi,/assets/images/thumb/spatial.jpg,,,,
🟡 Tool,GeoPy,https://pypi.org/project/geopy/,"GeoPy is a library that provides an API; it is easy for developers to locate the coordinates of addresses, cities, countries, and landmarks across the globe using third-party geocoders and other data sources.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/geopy.jpg,,,,
🟡 Tool,PyTorch Geometric Temporal,https://github.com/benedekrozemberczki/pytorch_geometric_temporal,"This tool introduces various dynamic and temporal geometric deep learning, embedding, and spatio-temporal regression methods from a variety of published research papers.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/pytorch_geometric_temporal.jpg,,,,
🟡 Tool,Generative Neural Temporal Point Proces (GNTPP),https://github.com/EDAPINENUT/GNTPP,This tool provides a PyTorch implementation of GNTPP from the paper Exploring Generative Neural Temporal Point Process. It focuses on deep generative models for producing high-quality event samples in temporal point process modeling.,Abdelrahman Ezzeldin Nagib,/assets/images/thumb/generative_neural_temporal_point_proces_(gntpp).jpg,,,,
🟡 Tool,GIS OPS,https://gis-ops.com/de/,"This tool provides routing information from sources like OpenStreetMap (OSM), TomTom, and HERE.",Abdelrahman Ezzeldin Nagib,/assets/images/thumb/GIS_OPS.jpg,,,,
🟡 Tool,BSTPP: Bayesian Spatiotemporal Point Process,https://www.georgemohler.com/_files/ugd/9226cc_a9bc736f02bb41fa92f7021aac6fc0be.pdf,"is a Python package for Bayesian inference on STPPs, supporting LGCP, Hawkes, and Cox-Hawkes models. It features a VAE for fast GP inference and an extendable module for custom or predefined trigger functions.",Mouad Elhamdi,/assets/images/thumb/spatial.jpg,,,,
🟡 Tool,GeoStats.jl,https://github.com/JuliaEarth/GeoStats.jl,"is a Julia-based framework for geospatial data science and geostatistics, offering a unified interface for kriging, simulation, and estimation. It supports advanced geometry handling and high-performance spatial computations.",Mouad Elhamdi,/assets/images/thumb/GeoStats.jpg,,,,
🟡 Tool,mlr3spatiotempcv,https://www.jstatsoft.org/article/view/v111i07,"is an R package extending mlr3 with spatiotemporal resampling strategies. It supports model evaluation, selection, and tuning for spatial data through a unified interface for advanced resampling techniques.",Mouad Elhamdi,/assets/images/thumb/spatial.jpg,,,,
🟡 Tool,Spatstat,https://spatstat.org/,"is a comprehensive R package for spatial point pattern analysis, offering tools for EDA, model fitting (Poisson, Cox, Gibbs), and simulation. It handles irregular windows and marked or inhomogeneous patterns, widely used in ecology, epidemiology, and environmental studies.",Mouad Elhamdi,/assets/images/thumb/Spatstat.jpg,,,,
🟡 Tool,Tick Library,https://x-datainitiative.github.io/tick/,"is a Python library for time-dependent modeling, featuring fast solvers for Hawkes processes, GLMs, and survival analysis. It supports simulation and inference, making it ideal for financial, criminological, and event-based data.",Mouad Elhamdi,/assets/images/thumb/Tick.jpg,,,,
🟡 Tool,STPP Simulator,https://github.com/meowoodie/Spatio-Temporal-Point-Process-Simulator,"This GitHub project offers a framework for simulating spatio-temporal point processes, like Poisson and Hawkes models, over continuous space and time. It’s ideal for testing inference methods and exploring synthetic event dynamics.",Mouad Elhamdi,/assets/images/thumb/STPPSimulator.jpg,,,,
🟡 Tool,STPPGC,https://github.com/YahyaAalaila/STPPGC?tab=readme-ov-file,"is a benchmarking toolkit for streaming STPP models. Its BenchSTPP framework supports end-to-end development with YAML configs, PyTorch Lightning, Ray Tune, and version-controlled logging for fast, reproducible prototyping and evaluation.",Mouad Elhamdi,/assets/images/thumb/stppgc.jpg,,,,
🟡 Tool,Jeo,https://github.com/google-deepmind/jeo,"is a foundation model framework by DeepMind for embedding geospatial and temporal data into a shared space. It supports tasks like land cover classification and change detection, enabling scalable, multimodal learning across sensors and regions for geospatial AI.",Mouad Elhamdi,/assets/images/thumb/WorkflowJeoGeeFlow.jpg,,,,
🟡 Tool,GeeFlow,https://github.com/google-deepmind/geeflow,"is a DeepMind library for generating large-scale Earth observation datasets using Google Earth Engine. It provides utilities and pipeline scripts to support geospatial AI research, especially for model training with frameworks like Jeo.",Mouad Elhamdi,/assets/images/thumb/WorkflowJeoGeeFlow.jpg,,,,
🟡 Tool,Forest Typology,https://github.com/google-deepmind/forest_typology,"is an AI initiative by DeepMind, WRI, and Google to map and classify global forest types. It estimates forest composition, identifies biodiversity hotspots and carbon sinks, and provides land cover layers and benchmark datasets for climate and conservation research.",Mouad Elhamdi,/assets/images/thumb/ForestTypology.jpg,,,,
